"","x"
"1","a"
"2","agora"
"3","ainda"
"4","alguém"
"5","algum"
"6","alguma"
"7","algumas"
"8","alguns"
"9","ampla"
"10","amplas"
"11","amplo"
"12","amplos"
"13","ante"
"14","antes"
"15","ao"
"16","aos"
"17","após"
"18","aquela"
"19","aquelas"
"20","aquele"
"21","aqueles"
"22","aquilo"
"23","as"
"24","até"
"25","através"
"26","cada"
"27","coisa"
"28","coisas"
"29","com"
"30","como"
"31","contra"
"32","contudo"
"33","da"
"34","daquele"
"35","daqueles"
"36","das"
"37","de"
"38","dela"
"39","delas"
"40","dele"
"41","deles"
"42","depois"
"43","dessa"
"44","dessas"
"45","desse"
"46","desses"
"47","desta"
"48","destas"
"49","deste"
"50","deste"
"51","destes"
"52","deve"
"53","devem"
"54","devendo"
"55","dever"
"56","deverá"
"57","deverão"
"58","deveria"
"59","deveriam"
"60","devia"
"61","deviam"
"62","disse"
"63","disso"
"64","disto"
"65","dito"
"66","diz"
"67","dizem"
"68","do"
"69","dos"
"70","e"
"71","é"
"72","ela"
"73","elas"
"74","ele"
"75","eles"
"76","em"
"77","enquanto"
"78","entre"
"79","era"
"80","essa"
"81","essas"
"82","esse"
"83","esses"
"84","esta"
"85","está"
"86","estamos"
"87","estão"
"88","estas"
"89","estava"
"90","estavam"
"91","estávamos"
"92","este"
"93","estes"
"94","estou"
"95","eu"
"96","fazendo"
"97","fazer"
"98","feita"
"99","feitas"
"100","feito"
"101","feitos"
"102","foi"
"103","for"
"104","foram"
"105","fosse"
"106","fossem"
"107","grande"
"108","grandes"
"109","há"
"110","isso"
"111","isto"
"112","já"
"113","la"
"114","lá"
"115","lhe"
"116","lhes"
"117","lo"
"118","mas"
"119","me"
"120","mesma"
"121","mesmas"
"122","mesmo"
"123","mesmos"
"124","meu"
"125","meus"
"126","minha"
"127","minhas"
"128","muita"
"129","muitas"
"130","muito"
"131","muitos"
"132","na"
"133","não"
"134","nas"
"135","nem"
"136","nenhum"
"137","nessa"
"138","nessas"
"139","nesta"
"140","nestas"
"141","ninguém"
"142","no"
"143","nos"
"144","nós"
"145","nossa"
"146","nossas"
"147","nosso"
"148","nossos"
"149","num"
"150","numa"
"151","nunca"
"152","o"
"153","os"
"154","ou"
"155","outra"
"156","outras"
"157","outro"
"158","outros"
"159","para"
"160","pela"
"161","pelas"
"162","pelo"
"163","pelos"
"164","pequena"
"165","pequenas"
"166","pequeno"
"167","pequenos"
"168","per"
"169","perante"
"170","pode"
"171","pude"
"172","podendo"
"173","poder"
"174","poderia"
"175","poderiam"
"176","podia"
"177","podiam"
"178","pois"
"179","por"
"180","porém"
"181","porque"
"182","posso"
"183","pouca"
"184","poucas"
"185","pouco"
"186","poucos"
"187","primeiro"
"188","primeiros"
"189","própria"
"190","próprias"
"191","próprio"
"192","próprios"
"193","quais"
"194","qual"
"195","quando"
"196","quanto"
"197","quantos"
"198","que"
"199","quem"
"200","são"
"201","se"
"202","seja"
"203","sejam"
"204","sem"
"205","sempre"
"206","sendo"
"207","será"
"208","serão"
"209","seu"
"210","seus"
"211","si"
"212","sido"
"213","só"
"214","sob"
"215","sobre"
"216","sua"
"217","suas"
"218","talvez"
"219","também"
"220","tampouco"
"221","te"
"222","tem"
"223","tendo"
"224","tenha"
"225","ter"
"226","teu"
"227","teus"
"228","ti"
"229","tido"
"230","tinha"
"231","tinham"
"232","toda"
"233","todas"
"234","todavia"
"235","todo"
"236","todos"
"237","tu"
"238","tua"
"239","tuas"
"240","tudo"
"241","última"
"242","últimas"
"243","último"
"244","últimos"
"245","um"
"246","uma"
"247","umas"
"248","uns"
"249","vendo"
"250","ver"
"251","vez"
"252","vindo"
"253","vir"
"254","vos"
"255","vós"
